"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"대한민국",-,-,-,-,-,-,-,-,-,-,-,516,551,632,675,693,758,866,935,1064,1082,1046,1096,1169,1257,1302,1477,1580,1761,1857,2167,2307,2534,2814,2958,3210,3455,3726,3378,3709,4003,4033,4170,4233,4333,4364,4413,4565,4630,4650,5045,5217,5249,5232,5289,5413
"쿠웨이트",-,-,-,-,-,-,-,-,-,-,-,7129,7401,7345,6611,5914,6016,6088,6229,7384,6998,6547,6936,7015,6946,7426,7717,8068,9475,10663,5439,2009,5444,7438,8792,8937,8541,8342,9227,9597,9673,10030,10034,10421,10851,11757,10859,10478,10832,11236,10898,10300,10956,9580,9007,-
"키르기스스탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1705,1521,1103,857,619,523,596,552,579,498,473,436,485,511,498,499,485,561,594,536,505,600,737,690,650,-
"레바논",-,-,-,-,-,-,-,-,-,-,-,757,761,925,929,804,756,525,679,803,835,779,582,623,624,722,781,786,573,556,544,660,654,919,989,1114,1153,1278,1235,1270,1136,1199,1175,1162,1156,1086,1016,878,1111,1343,1277,1258,1385,1245,1194,-
"말레이시아",-,-,-,-,-,-,-,-,-,-,-,574,567,549,605,621,658,647,810,925,900,934,923,1048,1051,1029,1122,1101,1121,1194,1246,1495,1603,1686,1631,1717,1849,2095,1940,1917,2131,2161,2178,2278,2392,2536,2493,2671,2735,2547,2555,2622,2625,2914,2931,-
"몰디브",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,-,-,-,-,-,-,-,-,-,-,-,827,733,916,920,-,-,-,-,-,-,-,-
"몽골",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1626,1709,1756,1824,1691,1577,1734,1493,1376,1174,1156,963,933,932,924,978,977,1036,1004,1025,1170,1320,1370,1361,1396,1459,1572,1709,1849,1852,-
"미얀마",-,-,-,-,-,-,-,-,-,-,-,283,282,271,277,276,281,281,279,279,282,280,281,279,283,298,298,282,274,277,266,258,263,257,270,275,272,275,279,276,282,273,279,300,314,312,314,324,310,292,284,288,312,328,378,-
"네팔",-,-,-,-,-,-,-,-,-,-,-,286,288,290,290,289,288,289,289,291,292,291,292,294,295,291,294,293,293,291,295,297,296,295,299,301,302,305,307,318,330,336,334,339,340,347,344,348,358,367,376,388,370,410,426,-
"오만",-,-,-,-,-,-,-,-,-,-,-,123,123,133,197,303,458,860,609,875,1131,911,1305,1135,1766,1560,1377,1493,1360,1496,2338,3081,2749,2864,2831,2808,2838,3004,2980,3044,3229,3233,3359,3537,3567,3938,6026,6792,5905,5863,6495,6865,6696,6402,6068,-
"파키스탄",-,-,-,-,-,-,-,-,-,-,-,280,280,286,294,299,293,296,299,305,307,315,320,325,326,332,335,355,360,367,372,369,383,392,397,402,411,409,406,417,415,409,403,412,432,439,448,462,444,441,437,431,429,432,432,-
"필리핀",-,-,-,-,-,-,-,-,-,-,-,399,391,425,416,431,440,447,442,455,463,454,454,482,423,434,423,433,447,459,466,455,464,453,474,486,490,503,505,507,513,481,478,469,458,450,439,432,439,411,427,422,441,449,470,-
"카타르",-,-,-,-,-,-,-,-,-,-,-,6957,6865,8749,6866,10464,7243,7640,6657,10817,11937,14061,15386,15029,16154,15434,15689,15567,15696,15526,14777,15820,16023,16121,15708,15819,16337,18479,18368,18454,16906,17777,19140,18880,21421,19635,19300,17969,15749,15049,16132,17345,19988,19820,19903,-
"사우디아라비아",-,-,-,-,-,-,-,-,-,-,-,1150,930,1020,1081,1110,1222,1297,1854,2319,3058,3962,4233,4413,3713,3568,3408,3898,4273,4096,3624,4054,4451,4475,4575,4474,4660,4327,4490,4455,4541,4548,4918,4863,5063,5023,5350,5315,5705,5850,6307,5908,6500,6104,6646,-
"싱가포르",-,-,-,-,-,-,-,-,-,-,-,1292,1569,1712,1796,1640,1693,1763,2215,2131,2126,2125,1987,2196,2455,2473,2631,2758,2981,2897,3783,4167,4589,5488,6460,5347,5359,5818,5083,4587,4635,5146,5066,6217,7371,5056,5264,4677,5094,4258,5007,5069,4898,4880,5122,-
"스리랑카",-,-,-,-,-,-,-,-,-,-,-,300,313,314,293,301,297,289,300,306,303,304,317,314,319,310,316,324,324,321,321,322,326,340,323,330,367,377,381,405,443,425,429,450,451,457,457,461,449,442,471,501,535,475,504,-
"시리아",-,-,-,-,-,-,-,-,-,-,-,364,292,294,365,407,446,479,506,634,502,579,672,746,829,743,737,793,795,773,843,892,829,810,822,845,868,918,997,968,947,947,959,939,956,1119,1113,1094,1076,985,970,875,657,541,538,-
"타지키스탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,980,913,733,567,429,376,356,350,366,362,343,331,325,325,345,338,342,359,335,286,285,280,295,320,337,-
"태국",-,-,-,-,-,-,-,-,-,-,-,372,380,401,400,424,450,468,476,492,481,476,471,424,460,489,504,547,613,674,759,812,852,886,966,1042,1150,1156,1071,1131,1146,1169,1281,1376,1474,1504,1522,1575,1606,1588,1726,1713,1825,1951,1926,-
"동티모르",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,60,59,60,-,-,-,-,-,-,-,-
"튀르키예",389,384,408,417,429,440,471,476,488,502,512,538,594,640,649,674,719,772,752,700,713,705,733,759,771,800,843,917,905,921,970,940,952,993,964,1038,1110,1149,1153,1115,1185,1079,1125,1165,1191,1226,1338,1425,1389,1357,1458,1529,1573,1536,1575,1658
"투르크메니스탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4709,3977,2644,2603,3219,3239,2781,2745,2827,3295,3257,3271,3367,3706,3821,3925,3964,4453,4440,3838,4306,4604,4678,4713,4723,-
"아랍에미리트",-,-,-,-,-,-,-,-,-,-,-,2937,2679,2955,2726,3565,4007,5811,5924,6130,7132,8063,8277,7526,9231,9943,10611,10978,10539,11433,10749,11695,10565,10576,11187,11374,11361,11244,10809,10409,9624,11639,10974,10287,10481,10394,9430,8538,8488,7501,7273,7503,7893,7992,7976,-
"우즈베키스탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2261,2295,2110,2146,2082,1876,1903,1900,2078,2111,2064,2050,2109,2016,1964,1799,1816,1778,1823,1592,1513,1614,1626,1419,-,-
"베트남",-,-,-,-,-,-,-,-,-,-,-,308,304,311,285,296,259,262,262,266,272,269,271,273,270,267,273,283,279,267,267,265,271,288,283,297,308,327,344,350,364,384,415,431,473,496,504,537,568,614,674,666,671,664,-,-
"예멘",-,-,-,-,-,-,-,-,-,-,-,105,80,131,105,88,104,109,112,110,138,132,150,153,155,157,164,187,192,189,188,220,231,193,194,212,210,217,225,247,255,275,259,281,298,309,321,305,312,336,317,260,228,306,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",4251,4308,4452,4694,4904,5154,5273,5557,5872,6091,6476,6436,6863,7085,7090,7170,7294,7431,7562,7862,7829,7555,7174,7077,7369,7468,7522,7671,7885,7963,7630,7517,7602,7771,7957,7980,8053,8056,7948,8108,8265,8056,7994,8342,8456,8422,8240,8213,8195,7797,7788,7912,7734,7744,7899,7631
"멕시코",-,-,-,-,-,-,-,-,-,-,-,828,888,952,982,1008,1047,1099,1194,1273,1405,1467,1504,1388,1423,1451,1386,1433,1426,1465,1513,1558,1541,1536,1541,1465,1471,1521,1537,1556,1533,1562,1546,1614,1608,1694,1709,1676,1638,1620,1553,1609,1656,1638,1583,1559
"미국",5642,5612,5775,5987,6137,6308,6591,6810,7073,7332,7569,7645,7941,8164,7910,7656,8101,8286,8438,8327,7942,7648,7259,7199,7443,7456,7376,7622,7850,7890,7672,7631,7677,7709,7758,7764,7844,7829,7804,7923,8057,7828,7843,7794,7882,7846,7698,7758,7488,7057,7161,7030,6872,6906,6961,6804
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"앤티가바부다",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1561,-,-,-,-,-,-,-,-,-,-,-,-,-,1710,1715,1768,1780,-,-,-,-,-,-,-,-
"아르헨티나",-,-,-,-,-,-,-,-,-,-,-,1389,1389,1422,1427,1389,1415,1429,1434,1490,1492,1434,1420,1424,1452,1365,1427,1482,1510,1446,1411,1434,1488,1472,1545,1547,1583,1615,1651,1660,1661,1562,1502,1591,1720,1713,1844,1849,1928,1856,1929,1952,1937,1967,2030,-
"바하마",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2384,-,-,-,-,-,-,-,-,-,-,-,-,-,1935,2001,2002,1982,-,-,-,-,-,-,-,-
"바베이도스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1244,-,-,-,-,-,-,-,-,-,-,-,-,-,1397,1447,1472,1477,-,-,-,-,-,-,-,-
"벨리즈",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,582,-,-,-,-,-,-,-,-,-,-,-,-,-,570,574,596,599,-,-,-,-,-,-,-,-
"볼리비아",-,-,-,-,-,-,-,-,-,-,-,218,235,243,255,289,309,323,343,369,426,438,450,418,408,395,365,331,339,354,368,371,385,404,436,480,507,542,538,520,571,436,514,525,517,554,681,545,570,584,625,649,734,726,763,-
"브라질",-,-,-,-,-,-,-,-,-,-,-,707,739,791,822,838,859,867,901,936,931,873,867,869,905,946,970,987,981,983,930,932,926,934,968,985,1022,1058,1067,1076,1066,1070,1085,1090,1137,1153,1180,1234,1290,1236,1354,1363,1409,1456,1490,-
"칠레",-,-,-,-,-,-,-,-,-,-,-,872,871,825,806,717,748,764,779,812,826,827,748,762,791,777,800,813,906,999,1050,1056,1124,1134,1201,1272,1390,1536,1571,1649,1639,1591,1629,1629,1718,1754,1807,1856,1820,1754,1814,1957,2146,2210,2041,2017
"콜롬비아",-,-,-,-,-,-,-,-,-,-,-,647,633,623,645,660,671,676,658,628,676,670,673,679,686,682,726,735,742,732,743,736,738,757,768,767,772,736,757,666,658,645,623,627,624,641,666,653,676,693,696,690,689,728,729,-
"코스타리카",-,-,-,-,-,-,-,-,-,-,-,424,441,468,446,471,463,525,553,556,521,476,451,432,455,456,465,483,482,523,531,549,692,689,662,660,648,641,624,674,722,713,738,779,909,896,955,1015,1019,1000,1005,995,999,1011,1013,-
"쿠바",-,-,-,-,-,-,-,-,-,-,-,1162,1101,1160,1214,1233,1283,1384,1458,1488,1493,1495,1506,1575,1529,1507,1489,1539,1601,1740,1638,1344,1170,972,998,994,1082,1108,1035,1074,1147,1117,1038,1030,1005,949,946,900,955,1012,1093,1027,1060,1019,1032,-
