"국가별",2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"국가별",전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타
"인도네시아",222017,192591,15710,-,1,6,13710,234549,199993,18800,-,-,7,15749,267287,240698,17595,-,-,5,8989,233367,201209,21475,-,6,21,10656,262673,230068,18632,-,6,29,13938,275657,242665,19774,-,-,7,13212,281248,247723,20435,-,-,10,13080,276504,240582,21624,-,-,9,14289,289471,252870,19580,-,-,120,16901,-,-,-,-,-,-,-
"이란",262434,242930,14582,4546,376,0,-,274437,255917,13862,4472,186,0,-,280633,263407,14090,2914,221,1,-,289116,265821,16421,6620,250,4,-,307992,285036,15051,7514,306,85,-,309642,285569,15765,7450,518,340,-,311458,287539,15873,6757,616,673,-,336239,313487,15887,5527,754,584,-,344161,323803,15887,3093,759,619,-,-,-,-,-,-,-,-
"이라크",58468,53665,4757,-,-,46,-,67825,64837,2931,-,-,57,-,68745,66116,2572,-,-,57,-,80042,76614,3371,-,-,57,-,85541,83307,2176,-,-,57,-,81292,79417,1818,-,-,57,-,87370,82350,4963,-,-,57,-,85433,81214,4162,-,-,57,-,86164,82761,3346,-,-,57,-,-,-,-,-,-,-,-
"이스라엘",61322,60794,28,-,6,494,-,60813,59954,13,-,6,840,-,64226,63080,24,-,7,1115,-,66976,65432,0,-,0,1544,-,67674,65742,0,-,180,1511,242,68894,66978,0,-,183,1574,159,72351,68796,-,-,190,3115,250,72285,67702,-,-,204,4163,216,73796,68054,-,-,178,5351,214,-,-,-,-,-,-,-
"일본",1104137,967373,84886,9303,5187,12880,24508,1075958,936946,86942,0,5217,22952,23901,1058617,894022,91270,9437,5580,34802,23506,1070835,891983,85665,18060,6166,45761,23200,1080884,872174,91104,32912,6490,55069,23136,1067252,822287,88348,64929,7481,62668,21539,1039148,789025,87653,63779,7617,69382,21692,1017285,783015,87548,38752,8970,79087,19913,1049910,773762,88825,70805,9428,86094,20995,-,-,-,-,-,-,-
"요르단",17263,17205,55,-,3,-,-,18270,18210,58,-,2,-,-,19012,18834,53,-,123,2,-,19677,18817,42,-,391,427,-,20793,19387,38,-,449,920,-,20476,18332,23,-,707,1415,-,20995,18016,18,-,875,2086,-,20952,16675,18,-,1407,2852,-,21289,16168,19,-,1596,3507,-,22065,16425,19,-,1748,3873,-
"카자흐스탄",103108,95349,7731,-,5,23,-,95311,86937,8263,-,13,97,-,91882,82363,9269,-,132,118,-,94693,82661,11621,-,275,136,-,103197,91487,11210,-,340,160,-,107605,96364,10395,-,461,384,-,106878,95346,9994,-,707,831,-,110890,98711,9660,-,1029,1490,-,115078,102493,9208,-,1747,1629,-,113461,100130,9201,-,2372,1758,-
"북한",22108,8200,13900,-,-,8,-,21614,8600,13000,-,-,14,-,19029,9000,10000,-,-,29,-,23941,11100,12800,-,-,41,-,23544,11600,11900,-,-,45,-,24949,12100,12800,-,-,49,-,23853,12800,11000,-,-,53,-,24053,11200,12800,-,-,53,-,25566,9400,16100,-,-,66,-,-,-,-,-,-,-,-
"쿠웨이트",60982,60982,-,-,-,-,-,65140,65140,-,-,-,-,-,68288,68288,-,-,-,-,-,70100,70085,-,-,6,9,-,73824,73786,-,-,25,13,-,74157,74099,-,-,38,20,-,75203,75071,-,-,36,96,-,74956,74743,-,-,33,180,-,80757,80569,-,-,29,159,-,83366,83366,-,-,-,-,-
"키르기스스탄",14011,914,13097,-,-,-,-,14572,1274,13298,-,-,-,-,13030,1930,11100,-,-,-,-,13262,1768,11494,-,-,-,-,15514,1311,14203,-,-,-,-,15728,1410,14318,-,-,-,-,15100,1256,13844,-,-,-,-,15404,1425,13979,-,-,-,-,14815,1858,12957,-,-,-,-,13854,1951,11903,-,-,-,-
"레바논",17490,16218,1269,-,-,3,-,19777,19578,193,-,-,6,-,20720,20226,479,-,-,15,-,21457,21047,382,-,-,28,-,23411,22955,415,-,-,41,-,23150,22754,348,-,-,48,-,23819,22736,965,-,-,118,-,18306,17161,1025,-,-,120,-,13631,12655,670,-,-,306,-,2820,2120,700,-,-,-,-
