"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"① 재생에너지",바이오 (MWh),소계,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,416359,455542,416713,524623,1027251,1839568,4656237,5546583,6237564,7466664,9363229,10415632,9938354,11788068,11927592
"① 재생에너지",바이오 (MWh),사업용,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,416359,455542,409185,469805,654430,1366716,4225476,5165641,5940066,7178784,9076016,10111154,9664364,11454757,11503337
"① 재생에너지",바이오 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7528,54818,372821,472852,430761,380942,297498,287879,287213,304478,273990,333310,424255
"① 재생에너지",바이오 (MWh),바이오가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,3363,6814,17401,44860,38973,99810,94930,121142,138600,170599,175007,195247,179046,191081,152742
"① 재생에너지",바이오 (MWh),바이오가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,3363,6814,9873,20263,15461,37480,47507,92207,100320,142362,144461,168409,149710,174406,135429
"① 재생에너지",바이오 (MWh),바이오가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7528,24597,23512,62330,47423,28935,38279,28236,30546,26838,29336,16675,17312
"① 재생에너지",바이오 (MWh),매립지가스,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,412996,448728,399312,440814,419409,293298,253024,252312,238584,255827,242172,239527,180043,187485,206760
"① 재생에너지",바이오 (MWh),매립지가스,사업용,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,412996,448728,399312,440814,419409,293298,246543,246589,238584,255827,242172,239527,180043,187485,206760
"① 재생에너지",바이오 (MWh),매립지가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6481,5723,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8728,88060,119712,106168,132176,54486,52518,53786,41753,99242,222248,319428
"① 재생에너지",바이오 (MWh),우드칩,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8728,23057,62111,105908,131297,54486,52518,53786,41753,95538,167583,319428
"① 재생에너지",바이오 (MWh),우드칩,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65003,57601,260,879,-,-,-,-,3704,54665,-
"① 재생에너지",바이오 (MWh),목재펠릿,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83015,696539,2764069,2512521,2679313,3722931,4837318,4959229,4926845,6794232,7393419
"① 재생에너지",바이오 (MWh),목재펠릿,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83015,696539,2764069,2508862,2679313,3722931,4837318,4959229,4926845,6794232,7393419
"① 재생에너지",바이오 (MWh),목재펠릿,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3659,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30221,40534,178215,90472,96324,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32168,99211,-,17993,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30221,8366,79004,90472,78331,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275940,273917,274248,263411,259219,259643,256667,277640,240950,261970,234792
"① 재생에너지",바이오 (MWh),흑액,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275940,273917,274248,263411,259219,259643,256667,277640,240950,261970,234792
"① 재생에너지",바이오 (MWh),하수슬러지고형연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81320,178077,195307,282542,284973,331095,405314,338143,410193,406146,73784
"① 재생에너지",바이오 (MWh),하수슬러지고형연료,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81320,178077,195307,282542,284973,331095,405314,338143,410193,406146,73784
"① 재생에너지",바이오 (MWh),Bio-SRF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,341254,652965,1127409,1431740,1782965,2068895,1983916,1892499,1892487
"① 재생에너지",바이오 (MWh),Bio-SRF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329377,652961,1127409,1431740,1782965,2068895,1983916,1892499,1720336
"① 재생에너지",바이오 (MWh),Bio-SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11877,4,-,-,-,-,-,-,172150
"① 재생에너지",바이오 (MWh),바이오중유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536765,1233190,1454982,1242311,1609999,2295198,1918119,1832406,1654179
"① 재생에너지",바이오 (MWh),바이오중유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536765,1233190,1454982,1242311,1609999,2295198,1918119,1832406,1654179
"① 재생에너지",폐기물 (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10203907,11737151,11554426,14334944,22468966,22754303,23867053,24355370,18449443,439137,470620,413529
"① 재생에너지",폐기물 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5825528,5652440,6268771,9250869,10150125,9865706,10051818,10204921,6937137,337612,359968,349828
"① 재생에너지",폐기물 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4378379,6084711,5285655,5084075,12318841,12888596,13815235,14150448,11512307,101525,110652,63701
"① 재생에너지",폐기물 (MWh),폐가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9862615,11162731,11092956,13737289,21419499,21672062,22892836,23310983,17574387,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5568052,5459106,6060450,8924777,9503822,9217232,9334436,9445991,6281275,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4294563,5703625,5032506,4812512,11915677,12454830,13558400,13864992,11293112,-,-,-
"① 재생에너지",폐기물 (MWh),산업폐기물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45713,27598,23410,66381,86666,174950,159714,158923,157812,91821,108574,142400
"① 재생에너지",폐기물 (MWh),산업폐기물,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11708,4600,11613,51158,57544,174903,156506,153954,153549,90776,98312,139179
