"국가",총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외)
"아이슬란드",-,-,2222.790,2103.610,2250.170,2400.940,2349.660,2469.340,2523.720,2619.430,2638.680,2841.370,2933.190,2865.430,2992.470,2985.960,3109.790,2978.480,3155.850,3495.130,3812.820,3731.080,3627.420,3504.700,3501.300,3490.100,3446.720,3543.710,3495.520,3612.190,3668.960,3558.740,3339.560,3510.050
"아일랜드",-,-,32944.420,33674.310,33495.320,33716.360,34838.450,35852.990,37469.270,38804.990,40708.970,42440.180,45249.110,47607.620,46081.590,45684.110,46166.780,48156.200,47604.450,47664.090,47362.830,42179.090,41793.220,38056.370,38227.200,37281.870,36853.210,38718.550,40369.680,39078.280,39012.560,37325.750,35123.780,37547.280
"이스라엘",-,-,-,-,-,-,-,-,52232.000,-,-,-,61067.818,-,-,62534.542,62459.544,62734.167,63760.604,66585.271,66068.730,63244.641,65110.026,67164.842,72431.718,66310.985,64306.368,66118.768,65176.723,64898.833,64547.704,65795.320,62674.230,-
"이탈리아",-,-,438904.300,438385.650,438770.960,431176.400,425428.210,449430.220,443656.710,449430.940,461646.720,466393.430,470524.120,470577.430,478002.000,496005.840,501631.600,502346.600,496934.400,490653.340,479077.160,424952.660,436534.300,424739.250,404260.610,370253.540,350126.680,361935.920,358814.020,353418.590,349826.900,340402.520,303281.270,337229.880
"일본",-,-,1157195.590,1168897.280,1178674.760,1171686.700,1226702.220,1239048.070,1251545.720,1244251.040,1204402.540,1241036.490,1263754.800,1249162.130,1278787.150,1287292.540,1282685.850,1290144.650,1267118.390,1302836.790,1232014.220,1163057.190,1214707.540,1264631.160,1305883.600,1315192.020,1264071.910,1223168.720,1202454.570,1186802.260,1141668.880,1104539.820,1039795.900,1062129.240
"대한민국",-,-,251989.830,274849.480,299733.500,334691.250,356981.390,384258.290,418602.730,446183.100,379351.850,411460.870,443674.420,459377.860,478859.640,487338.910,492760.600,498236.380,504046.780,524347.900,538165.980,542534.680,595374.680,625980.700,627796.430,636637.890,629870.110,634320.540,637427.830,650220.200,664976.100,643767.240,599812.590,-
"라트비아",-,-,19662.720,17920.700,14194.650,11922.760,10371.240,9134.980,9212.680,8680.910,8307.000,7718.820,7082.580,7497.440,7521.360,7726.980,7732.140,7811.700,8310.880,8638.660,8198.940,7456.830,8555.270,7811.920,7520.590,7369.650,7173.210,7263.450,7211.640,7216.300,7863.010,7650.650,6999.910,7240.500
"리투아니아",-,-,35737.670,37820.380,21168.440,16319.710,15767.040,15057.340,15739.960,15162.850,15997.050,13449.600,11843.030,12593.740,12666.030,12659.430,13254.170,13862.650,14195.780,15475.050,14918.750,12830.510,13803.170,13960.950,14055.950,13154.250,12854.900,13055.460,13121.740,13286.190,13434.750,13677.780,13538.670,13829.670
"룩셈부르크",-,-,11815.500,12434.930,12202.470,12351.910,11542.850,9155.930,9207.410,8563.890,7663.260,8117.590,8703.620,9205.490,9980.630,10452.520,11821.720,12079.580,11910.980,11306.900,11172.490,10630.350,11197.590,11102.370,10872.000,10338.730,9823.490,9351.000,9094.200,9267.990,9573.910,9769.620,8067.690,8429.710
"멕시코",-,-,319999.850,329716.350,333049.710,338075.110,360853.350,347496.650,360698.320,381504.330,402609.080,398743.800,413330.300,410218.430,428339.210,425479.220,444430.980,453055.220,466112.580,484927.370,511672.760,499520.730,499279.550,515650.060,510821.570,510809.800,508360.100,516966.500,555997.730,528003.530,527794.870,497718.910,-,-
"네덜란드",-,-,162665.110,171110.620,170918.110,170863.250,171648.180,173201.150,182296.540,175285.350,176237.570,170854.250,172016.290,177146.200,176466.080,179896.910,181780.440,177859.110,172991.340,172746.750,175710.970,170336.250,182358.960,169123.830,165481.770,164874.210,157467.570,163802.240,164691.320,162202.580,158133.900,152509.410,136684.620,139906.960
"뉴질랜드",-,-,25502.510,26182.470,28166.710,27760.950,27899.820,28003.230,29304.160,31278.300,29858.210,31465.160,32245.510,34378.540,34541.610,36240.990,35835.680,37423.410,37329.520,36409.840,37508.390,34619.920,34810.380,34265.070,35944.250,35240.230,35438.010,35812.140,34153.010,35687.180,35704.200,36878.940,34237.330,34318.000
"노르웨이",-,-,34422.300,32851.070,33684.420,35164.850,37032.260,37584.010,40634.160,40726.470,40921.580,41655.630,41121.240,42462.730,41659.340,43144.770,43578.300,42748.870,43417.920,45178.220,44358.640,42802.170,45354.060,44500.310,43979.880,44249.280,44641.490,45194.430,44362.180,43827.050,43979.880,42445.390,40890.430,40662.910
"폴란드",473954.836,454130.596,376641.250,373622.770,364510.580,365174.880,360218.420,362614.550,377285.410,367235.670,339076.430,329266.200,317452.220,313500.550,306122.760,318949.730,323794.120,322765.060,336572.660,335920.200,329567.080,316021.210,334224.580,333598.770,325953.300,321927.040,309582.450,312715.420,323546.990,336765.420,336080.910,317682.530,302437.090,331077.160
"포르투갈",-,-,45278.820,47097.090,50920.120,49434.030,50206.750,54468.370,51761.500,54627.080,59168.600,66837.450,65611.380,65152.490,69559.710,64455.820,67303.340,69634.620,64842.820,62354.620,60027.940,57136.400,52933.980,51739.810,49898.550,48102.730,47885.040,52203.440,50366.710,55106.280,51372.730,47494.040,41695.200,39938.330
"슬로바키아",-,-,61472.830,53286.440,48886.840,46351.170,43756.980,44144.950,44026.130,44098.210,43827.250,43038.090,41138.780,43224.200,41978.130,42302.730,42792.360,42798.510,42563.850,40971.500,41364.300,37625.670,38408.620,37988.620,35913.260,35569.510,33658.640,34471.940,34914.410,36114.090,36105.530,33778.550,31096.630,35166.810
"슬로베니아",-,-,15094.550,13973.370,13882.580,14246.220,14636.100,15354.250,15999.410,16507.020,16039.040,15412.480,15053.850,16302.760,16564.690,16271.550,16704.580,16932.390,17178.360,17342.860,18278.460,16204.110,16459.730,16358.790,15759.570,15128.260,13561.310,13645.490,14458.360,14616.680,14519.850,14039.440,12854.910,13059.970
"스페인",-,-,230500.250,240230.730,248631.800,240046.060,252300.020,266034.890,253497.870,265832.150,274604.900,298074.660,310071.240,311808.520,331949.760,336332.170,353010.950,368338.140,359653.420,367399.090,335887.270,296500.280,282937.100,283799.320,278060.410,251940.320,254179.720,270767.460,259629.380,273592.190,268600.530,250660.790,213625.430,230269.460
"스웨덴",-,-,57509.900,57739.630,57567.240,57560.860,60014.550,59506.170,63381.060,58383.140,58801.830,55981.610,54930.070,55837.580,56685.410,57292.210,56516.920,53875.330,53738.080,52994.140,50866.880,47238.910,53120.370,49210.980,46712.080,45202.080,43473.370,43418.740,43414.110,42456.590,42036.580,41006.040,36686.490,38524.790
"스위스",-,-,44161.000,46136.910,46018.560,43605.820,42666.300,43407.790,44099.080,43035.150,44613.700,44436.970,43614.190,45080.920,43460.930,44646.080,45231.410,45778.290,45367.700,43362.900,44705.780,43529.710,45043.330,40981.070,42248.650,43182.480,39228.590,38725.590,39178.640,38172.090,36867.250,36726.920,34235.230,35787.340
"튀르키예",-,-,151614.980,158126.320,164064.880,171138.870,167565.650,181355.260,199646.690,212108.200,212135.040,207927.910,229936.660,213581.230,221225.640,236765.650,244768.580,264870.640,282368.320,313693.360,310622.130,316412.300,316193.040,342057.330,356107.200,347331.770,364028.280,384929.660,405950.210,430900.880,422058.620,402692.250,412926.870,452702.790
"영국",-,-,603666.160,611180.130,595547.680,581571.280,575574.300,567718.830,588352.230,564846.400,570182.520,562664.600,570546.480,579678.140,562251.680,573045.450,575203.660,572057.990,569662.240,561461.570,546903.000,495958.070,513843.490,471410.360,489083.110,479088.610,440062.650,423772.570,400645.320,388415.420,380582.440,366942.120,327164.210,348409.720
"미국",-,-,5120957.210,5062956.720,5174227.510,5272850.810,5364279.290,5425259.700,5612982.750,5688142.510,5733280.550,5803917.830,6010135.930,5907739.940,5946308.140,6010145.460,6112654.580,6132183.270,6052686.210,6130122.760,5915118.470,5480725.730,5679715.250,5546116.070,5344085.980,5480156.540,5528681.070,5376473.120,5252932.180,5212162.350,5377797.350,5262145.070,4714628.030,5032212.820
