"온실가스유형별",2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"이산화탄소 (ppm)",405.4,406.4,406.9,407.1,403.5,395.8,395.3,397.8,397.3,400.9,404.4,405.7,407.5,408.4,408.8,409.6,407.9,401.5,397.5,395.7,396.0,402.8,407.2,408.4,410.5,411.7,412.7,414.2,410.8,405.7,402.1,397.0,399.6,407.4,411.5,412.3,412.9,414.4,415.6,416.2,412.7,408.9,406.6,399.5,400.5,409.2,413.6,414.8,416.1,417.3,418.1,420.0,418.2,413.4,409.7,406.1,408.3,413.7,415.6,416.1,417.8,419.8,420.1,420.3,418.4,411.9,409.7,407.9,407.5,413.6,417.4,418.9,420.3,421.3,421.6,422.9,419.1,411.0,412.7,414.7,412.5,416.1,419.1,420.0,422.9,424.4,423.7,424.8,423.9,417.4,414.2,414.7,416.3,420.4,423.2,424.2,424.9,426.3,427.7,428.2,425.4,421.8,420.4,414.6,413.8,421.3,424.3,424.7,427.2,428.6,428.4,429.2,427.5,423.0,422.0,420.4,419.2,424.3,428.0,429.3
"메탄 (ppb)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1952,1956,1961,1953,1945,1922,1887,1902,1945,1954,1955,1960,1962,1972,1973,1958,1957,1960,1932,1936,1962,1959,1965,1976,1976,1979,1977,1966,1966,1974,1948,1935,1979,1994,1985,1990,1998,2004,2000,1987,1990,1980,1930,1952,1999,1997,2007,2017,2011,2017,2023,2015,2007,1973,1958,1996,2011,2008,2015,2015,2023,2032,2030,2015,2011,2008,1964,1949,1997,2027,2030,2035
"아산화질소 (ppb)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333.0,333.4,333.7,333.2,333.3,333.5,333.0,333.3,333.9,333.5,333.3,334.5,335.4,335.3,335.3,335.3,335.0,334.4,334.3,334.5,334.7,334.7,335.0,335.3,335.4,335.6,335.4,335.1,335.2,335.4,335.8,335.9,336.0,336.5,336.9,337.1,337.0,337.1,337.5,337.1,336.4,336.8,337.2,337.1,337.2,337.5,337.8,337.7,337.8,338.3,338.3,337.7,337.4,337.8,338.1,338.3
